input_text,target_text
Ask Priya to push the changes to GitHub,Push the changes to GitHub
Inform Rohit to book the conference room,Book the conference room
Inform Alex to send me the project update,Send me the project update
Ask Neha to update the deployment plan,Update the deployment plan
Send a message to Rina to send me the project update,Send me the project update
Ask Alex to book the conference room,Book the conference room
Message Sneha to push the changes to GitHub,Push the changes to GitHub
Message Rohit to send a summary of today’s meeting,Send a summary of today’s meeting
Remind Riya to send me the project update,Send me the project update
Ask Sanjay if they can send the invoice to finance,Can you send the invoice to finance?
Tell Isha to share the new code files,Share the new code files
Inform Neha to bring the laptop tomorrow,Bring the laptop tomorrow
Ask John to review the latest pull request,Review the latest pull request
Request Meera to schedule the client meeting,Schedule the client meeting
Ask Rahul to push the changes to GitHub,Push the changes to GitHub
Request Riya to send a summary of today’s meeting,Send a summary of today’s meeting
Ask Sanjay to bring the laptop tomorrow,Bring the laptop tomorrow
Ask Rahul to update the deployment plan,Update the deployment plan
Tell Isha to upload the test results,Upload the test results
Send a message to Karan to update the deployment plan,Update the deployment plan
Inform Karan to confirm interview timings,Confirm interview timings
Text Rahul to book the conference room,Book the conference room
Ask Karan if they can update the deployment plan,Can you update the deployment plan?
Send a message to John to plan the next sprint tasks,Plan the next sprint tasks
Message Priya to share the new code files,Share the new code files
Ping Karan and schedule the client meeting,Schedule the client meeting
Message Karan to bring the laptop tomorrow,Bring the laptop tomorrow
Send a message to Divya to submit the daily report,Submit the daily report
Ask Divya if they can send the invoice to finance,Can you send the invoice to finance?
Request Neha to bring the laptop tomorrow,Bring the laptop tomorrow
Ask Karan if they can confirm interview timings,Can you confirm interview timings?
Ask Sneha if they can send me the project update,Can you send me the project update?
Tell Isha to push the changes to GitHub,Push the changes to GitHub
Request Karan to review the presentation slides,Review the presentation slides
Ask Divya if they can review the presentation slides,Can you review the presentation slides?
Tell Isha to send me the project update,Send me the project update
Remind Karan to send me the project update,Send me the project update
Ask Divya if they can confirm interview timings,Can you confirm interview timings?
Inform Meera to bring the laptop tomorrow,Bring the laptop tomorrow
Message Karan to upload the test results,Upload the test results
Ask Neha if they can book the conference room,Can you book the conference room?
Inform Sneha to share the onboarding document,Share the onboarding document
Message Isha to review the presentation slides,Review the presentation slides
Tell Rina to finalize the budget report,Finalize the budget report
Remind Isha to review the presentation slides,Review the presentation slides
Send a message to Riya to confirm interview timings,Confirm interview timings
Remind Ankit to plan the next sprint tasks,Plan the next sprint tasks
Ask Alex to draft the new proposal,Draft the new proposal
Ping Rohit and review the latest pull request,Review the latest pull request
Ask Rahul if they can finalize the budget report,Can you finalize the budget report?
Text Priya to review the latest pull request,Review the latest pull request
Ask Rahul to share the onboarding document,Share the onboarding document
Ask Sneha if they can share the new code files,Can you share the new code files?
Request Alex to update the deployment plan,Update the deployment plan
Text Meera to push the changes to GitHub,Push the changes to GitHub
Remind Sneha to draft the new proposal,Draft the new proposal
Tell Karan to book the conference room,Book the conference room
Tell Priya to draft the new proposal,Draft the new proposal
Remind Riya to book the conference room,Book the conference room
Send a message to Alex to schedule the client meeting,Schedule the client meeting
Request Karan to plan the next sprint tasks,Plan the next sprint tasks
Text Rohit to push the changes to GitHub,Push the changes to GitHub
Request Rohit to check the bug fixes,Check the bug fixes
Remind Sanjay to check the bug fixes,Check the bug fixes
Message Rohit to send the invoice to finance,Send the invoice to finance
Ask Alex if they can finalize the budget report,Can you finalize the budget report?
Message John to check the bug fixes,Check the bug fixes
Ping Rahul and send a summary of today’s meeting,Send a summary of today’s meeting
Ping John and update the deployment plan,Update the deployment plan
Text John to review the latest pull request,Review the latest pull request
Message Sanjay to share the onboarding document,Share the onboarding document
Tell Neha to push the changes to GitHub,Push the changes to GitHub
Ask Rohit if they can review the latest pull request,Can you review the latest pull request?
Text Rahul to confirm interview timings,Confirm interview timings
Send a message to Sneha to book the conference room,Book the conference room
Message John to book the conference room,Book the conference room
Tell Priya to book the conference room,Book the conference room
Text Sneha to plan the next sprint tasks,Plan the next sprint tasks
Message Riya to schedule the client meeting,Schedule the client meeting
Request Divya to share the new code files,Share the new code files
Inform Sanjay to send me the project update,Send me the project update
Inform Rahul to submit the daily report,Submit the daily report
